	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	URL
10217	エルヴァージュ神田神保町/メディカルモール神田神保町	東京都千代田区神田神保町２	都営三田線/神保町駅 歩1分	東京メトロ半蔵門線/九段下駅 歩7分	東京メトロ東西線/竹橋駅 歩10分			10階	9.5万円	-	19万円/19万円/-/-	ワンルーム	16.4m	https://suumo.jp/chintai/jnc_000041262114/?bc=100124977234
10218	エルヴァージュ神田神保町/メディカルモール神田神保町	東京都千代田区神田神保町２	都営三田線/神保町駅 歩1分	東京メトロ半蔵門線/九段下駅 歩7分	東京メトロ東西線/竹橋駅 歩10分			9階	9.05万円	7600円	9.05万円/18.1万円/-/-	1K	22.6m	https://suumo.jp/chintai/jnc_000041262114/?bc=100124977234
10219	エルヴァージュ神田神保町/メディカルモール神田神保町	東京都千代田区神田神保町２	都営三田線/神保町駅 歩1分	東京メトロ半蔵門線/九段下駅 歩7分	東京メトロ東西線/竹橋駅 歩10分			10階	9.1万円	7600円	9.1万円/18.2万円/-/-	1K	22.6m	https://suumo.jp/chintai/jnc_000041262114/?bc=100124977234
10220	ＪＲ総武線 浅草橋駅 13階建 築16年	東京都千代田区東神田３	ＪＲ総武線/浅草橋駅 歩3分	東京メトロ日比谷線/秋葉原駅 歩6分	ＪＲ山手線/秋葉原駅 歩7分			4階	20万円	10000円	20万円/20万円/-/-	1LDK	60.19m	https://suumo.jp/chintai/jnc_000040377053/?bc=100121639763
10221	ＪＲ総武線 浅草橋駅 13階建 築16年	東京都千代田区東神田３	ＪＲ総武線/浅草橋駅 歩3分	東京メトロ日比谷線/秋葉原駅 歩6分	ＪＲ山手線/秋葉原駅 歩7分			7階	25万円	20000円	50万円/25万円/-/-	1LDK	57.32m	https://suumo.jp/chintai/jnc_000040377053/?bc=100121639763
10222	ＪＲ総武線 浅草橋駅 13階建 築16年	東京都千代田区東神田３	ＪＲ総武線/浅草橋駅 歩3分	東京メトロ日比谷線/秋葉原駅 歩6分	ＪＲ山手線/秋葉原駅 歩7分			5階	26.5万円	20000円	53万円/53万円/-/-	1SDK	57.32m	https://suumo.jp/chintai/jnc_000040377053/?bc=100121639763
10223	バウハウス根岸	東京都台東区根岸５	東京メトロ日比谷線/三ノ輪駅 歩2分	都電荒川線/三ノ輪橋駅 歩2分	都電荒川線/荒川一中前駅 歩8分			11階	29.5万円	20000円	59万円/29.5万円/-/-	1SLDK	62.95m	https://suumo.jp/chintai/jnc_000032772637/?bc=100103623951
10224	智光ビル	東京都中央区日本橋大伝馬町	ＪＲ山手線/神田駅 歩11分	東京メトロ日比谷線/小伝馬町駅 歩1分	ＪＲ総武線快速/馬喰町駅 歩4分			3階	6.5万円	5000円	6.5万円/-/-/-	ワンルーム	18.9m	https://suumo.jp/chintai/jnc_000041107852/?bc=100124305195
10225	ＪＲ総武線 浅草橋駅 12階建 築13年	東京都台東区蔵前４	ＪＲ総武線/浅草橋駅 歩10分	都営浅草線/蔵前駅 歩1分	都営大江戸線/新御徒町駅 歩12分			3階	9万円	-	9万円/9万円/-/-	1LDK	35.12m	https://suumo.jp/chintai/jnc_000041115617/?bc=100124322233
10226	銀座アビタシオン	東京都中央区銀座５	都営浅草線/東銀座駅 歩2分	東京メトロ銀座線/銀座駅 歩5分	都営大江戸線/築地市場駅 歩7分			5階	7.9万円	6000円	7.9万円/15.8万円/-/-	1K	21.91m	https://suumo.jp/chintai/jnc_000041125672/?bc=100124373075
10227	ＪＲ山手線 神田駅 12階建 築14年	東京都千代田区神田司町２	ＪＲ山手線/神田駅 歩6分	都営新宿線/小川町駅 歩4分	東京メトロ丸ノ内線/淡路町駅 歩4分			7階	9.2万円	10500円	-/9.2万円/-/-	1K	22.87m	https://suumo.jp/chintai/jnc_000040921228/?bc=100123801476
10228	ＪＲ山手線 神田駅 12階建 築14年	東京都千代田区神田司町２	ＪＲ山手線/神田駅 歩6分	都営新宿線/小川町駅 歩4分	東京メトロ丸ノ内線/淡路町駅 歩4分			4階	7.5万円	5000円	7.5万円/7.5万円/-/-	ワンルーム	22.4m	https://suumo.jp/chintai/jnc_000040921228/?bc=100123801476
10229	ライオンズステーションステーションプラザ半蔵門	東京都千代田区麹町１	東京メトロ半蔵門線/半蔵門駅 歩4分	東京メトロ有楽町線/麹町駅 歩6分	東京メトロ有楽町線/永田町駅 歩10分			3階	6.5万円	5000円	6.5万円/-/-/-	ワンルーム	18.9m	https://suumo.jp/chintai/jnc_000037736038/?bc=100121639413
10230	パークコート三番町ヒルトップレジデンス	東京都千代田区三番町	ＪＲ中央線/市ヶ谷駅 歩6分	東京メトロ半蔵門線/半蔵門駅 歩10分				3階	9万円	-	9万円/9万円/-/-	1LDK	35.12m	https://suumo.jp/chintai/jnc_000038092472/?bc=100114953608
10231	パークコート三番町ヒルトップレジデンス	東京都千代田区三番町	ＪＲ中央線/市ヶ谷駅 歩6分	東京メトロ半蔵門線/半蔵門駅 歩10分				1階	6.9万円	5000円	-/6.9万円/6.9万円/-	ワンルーム	9.08m	https://suumo.jp/chintai/jnc_000038092472/?bc=100114953608
10232	パークコート三番町ヒルトップレジデンス	東京都千代田区三番町	ＪＲ中央線/市ヶ谷駅 歩6分	東京メトロ半蔵門線/半蔵門駅 歩10分				4階	43.3万円	17000円	43.3万円/43.3万円/-/-	2LDK	85.43m	https://suumo.jp/chintai/jnc_000038092472/?bc=100114953608
10233	ロイヤルマンション	東京都台東区西浅草３	つくばエクスプレス/浅草駅 歩3分	東武伊勢崎線/浅草駅 歩10分	東京メトロ銀座線/田原町駅 歩10分			4階	6.5万円	3000円	6.5万円/6.5万円/-/-	ワンルーム	16m	https://suumo.jp/chintai/jnc_000026240591/?bc=100123162065
