	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
58	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				2階	8万円	10000円	8万円/8万円/-/-	1LDK	40.46m
59	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				5階	8.6万円	10000円	8.6万円/8.6万円/-/-	1LDK	43.55m
60	ベルフォート西新井	東京都足立区島根４	東武伊勢崎線/西新井駅 歩9分	東武伊勢崎線/梅島駅 歩15分				3階	12.2万円	10000円	12.2万円/12.2万円/-/-	2LDK	62.47m
61	カーサニコル3	東京都足立区堀之内１	日暮里・舎人ライナー/江北駅 歩15分	東京メトロ南北線/王子神谷駅 車8分(3.2km)	都電荒川線/荒川車庫前駅 車13分(3.9km)			1階	8.5万円	3000円	-/-/-/-	2LDK	49.17m
62	カーサニコル3	東京都足立区堀之内１	日暮里・舎人ライナー/江北駅 歩15分	東京メトロ南北線/王子神谷駅 車8分(3.2km)	都電荒川線/荒川車庫前駅 車13分(3.9km)			1階	8.7万円	3000円	-/-/-/-	2LDK	49.17m
63	ルチルみすみII	東京都足立区江北５	日暮里・舎人ライナー/江北駅 歩10分	東武伊勢崎線/西新井駅 歩30分	東武大師線/大師前駅 歩19分			2階	8.4万円	3000円	8.4万円/-/-/-	1LDK	41.25m
64	エクセレンス	東京都足立区皿沼３	日暮里・舎人ライナー/谷在家駅 歩10分	日暮里・舎人ライナー/舎人公園駅 歩11分	日暮里・舎人ライナー/西新井大師西駅 歩21分			2階	7.9万円	3000円	-/3.01万円/4.51万円/-	1LDK	40.35m
65	エクセレンス	東京都足立区皿沼３	日暮里・舎人ライナー/谷在家駅 歩10分	日暮里・舎人ライナー/舎人公園駅 歩11分	日暮里・舎人ライナー/西新井大師西駅 歩21分			2階	8.2万円	3000円	-/3万円/-/-	1LDK	40.35m
66	ソフィアコート	東京都足立区入谷３	日暮里・舎人ライナー/見沼代親水公園駅 歩13分					8階	7.6万円	6000円	7.6万円/3.8万円/-/-	1LDK	40m
67	サンビレッジ保塚Ｃ	東京都足立区保塚町	つくばエクスプレス/六町駅 歩10分	つくばエクスプレス/青井駅 歩27分	東武伊勢崎線/西新井駅 歩60分			2階	8.6万円	2000円	4.3万円/12.9万円/-/-	2LDK	51.8m
68	ヴェルジェ東伊興	東京都足立区東伊興３	東武伊勢崎線/竹ノ塚駅 歩8分	日暮里・舎人ライナー/舎人公園駅 歩28分	東武伊勢崎線/谷塚駅 歩29分			3階	9.5万円	4000円	9.5万円/-/-/-	2LDK	56.2m
69	パリス・デイジー	東京都足立区加平２	東京メトロ千代田線/北綾瀬駅 歩10分	つくばエクスプレス/六町駅 歩13分	つくばエクスプレス/青井駅 歩21分			2階	8.7万円	3500円	-/8.7万円/-/-	1LDK	41.27m
70	パリス・デイジー	東京都足立区加平２	東京メトロ千代田線/北綾瀬駅 歩10分	つくばエクスプレス/六町駅 歩13分	つくばエクスプレス/青井駅 歩21分			2階	8.7万円	3500円	-/8.7万円/-/-	1LDK	41.27m
71	大師グリーンプラザ	東京都足立区西新井２	東武大師線/大師前駅 歩11分	日暮里・舎人ライナー/西新井大師西駅 歩18分				2階	9.2万円	5000円	-/-/-/-	3LDK	60.9m
72	フォーリア	東京都足立区東保木間１	つくばエクスプレス/六町駅 歩11分					2階	8.3万円	3000円	-/8.3万円/-/-	1LDK	42.59m
73	Rich　Prosper（リッチ プラスパ）	東京都足立区皿沼１	日暮里・舎人ライナー/舎人公園駅 歩12分	日暮里・舎人ライナー/谷在家駅 歩15分	日暮里・舎人ライナー/西新井大師西駅 歩24分			4階	8.2万円	7000円	8.2万円/-/-/-	1LDK	45.63m
74	Rich　Prosper（リッチ プラスパ）	東京都足立区皿沼１	日暮里・舎人ライナー/舎人公園駅 歩12分	日暮里・舎人ライナー/谷在家駅 歩15分	日暮里・舎人ライナー/西新井大師西駅 歩24分			5階	8.3万円	7000円	8.3万円/-/-/-	1LDK	45.63m
75	アデニウム五反野	東京都足立区足立４	東武伊勢崎線/五反野駅 歩6分		東武伊勢崎線/小菅駅 歩20分			6階	12万円	-	24万円/12万円/-/-	3LDK	71.37m
