	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
43	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	48万円	-	48万円/48万円/-/-	2LDK	85.61m
44	ハーモニーレジデンス千代田岩本町	東京都千代田区岩本町１	東京メトロ日比谷線/小伝馬町駅 歩3分	ＪＲ山手線/神田駅 歩8分	都営新宿線/岩本町駅 歩8分	築6年	地下3地上41階建	12階	20.5万円	15000円	10.25万円/20.5万円/-/-	2LDK	54.66m
45	ハーモニーレジデンス千代田岩本町	東京都千代田区岩本町１	東京メトロ日比谷線/小伝馬町駅 歩3分	ＪＲ山手線/神田駅 歩8分	都営新宿線/岩本町駅 歩8分	築6年	地下3地上41階建	12階	20.5万円	15000円	10.25万円/20.5万円/-/-	2LDK	54.66m
46	ミュラーハウス	東京都千代田区一番町	東京メトロ半蔵門線/半蔵門駅 歩3分	都営新宿線/市ヶ谷駅 歩10分	東京メトロ有楽町線/麹町駅 歩7分	築6年	地下3地上41階建	7階	26万円	25000円	52万円/-/-/-	2LDK	72.3m
47	東京メトロ半蔵門線 半蔵門駅 7階建 築19年	東京都千代田区一番町	東京メトロ半蔵門線/半蔵門駅 歩3分	東京メトロ有楽町線/麹町駅 歩8分	東京メトロ有楽町線/市ヶ谷駅 歩11分	築6年	地下3地上41階建	7階	26万円	25000円	52万円/-/-/-	2LDK	72.3m
48	東京メトロ南北線 市ヶ谷駅 9階建 築17年	東京都千代田区三番町	東京メトロ南北線/市ヶ谷駅 歩6分	東京メトロ半蔵門線/半蔵門駅 歩8分	東京メトロ有楽町線/麹町駅 歩11分	築6年	地下3地上41階建	5階	15.5万円	3000円	-/15.5万円/-/-	1DK	34.17m
49	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	7階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
50	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
51	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	7階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
52	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	8階	28万円	-	28万円/28万円/-/-	2LDK	61.33m
53	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	28万円	-	28万円/28万円/-/-	2LDK	61.04m
54	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	28.1万円	-	28.1万円/28.1万円/-/-	2LDK	61.33m
55	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	10階	28.2万円	-	28.2万円/28.2万円/-/-	2LDK	61.33m
56	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	10階	28.2万円	-	28.2万円/28.2万円/-/-	2LDK	61.04m
57	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	11階	28.3万円	-	28.3万円/28.3万円/-/-	2LDK	61.33m
58	テルセーロ三鈴	東京都千代田区岩本町１	ＪＲ総武線快速/馬喰町駅 歩5分	東京メトロ日比谷線/小伝馬町駅 歩5分	都営新宿線/馬喰横山駅 歩5分	築6年	地下3地上41階建	4階	21.48万円	12000円	21.48万円/21.48万円/-/-	2LDK	64.99m
59	テルセーロ三鈴	東京都千代田区岩本町１	ＪＲ総武線快速/馬喰町駅 歩5分	東京メトロ日比谷線/小伝馬町駅 歩5分	都営新宿線/馬喰横山駅 歩5分	築6年	地下3地上41階建	4階	21.84万円	12000円	21.84万円/21.84万円/-/-	2LDK	64.99m
60	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	10.7万円	8000円	10.7万円/10.7万円/-/-	1K	23.2m
61	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	4階	12.9万円	10000円	12.9万円/12.9万円/-/-	1K	30.7m
62	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	4階	12.9万円	10000円	12.9万円/12.9万円/-/-	1DK	30.7m
63	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	6階	13万円	10000円	13万円/13万円/-/-	1DK	32.07m
64	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	6階	13万円	10000円	13万円/13万円/-/-	1DK	32.07m
65	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	13.5万円	10000円	13.5万円/13.5万円/-/-	1DK	32.07m
66	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	13.5万円	10000円	13.5万円/13.5万円/-/-	1DK	32.07m
67	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	12階	21.8万円	12000円	21.8万円/21.8万円/-/-	2LDK	62.78m
68	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	12.2万円	10000円	12.2万円/12.2万円/-/-	1K	27.14m
69	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	8階	12.8万円	10000円	25.6万円/12.8万円/-/-	1K	27.09m
70	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	10階	12.9万円	10000円	25.8万円/12.9万円/-/-	1K	27.09m
71	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	13階	13.2万円	10000円	13.2万円/13.2万円/-/-	1K	28.75m
72	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	12階	19.4万円	10000円	19.4万円/19.4万円/-/-	1LDK	44.86m
73	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	25.5万円	10000円	51万円/25.5万円/-/-	1SLDK	60.62m
74	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	26万円	10000円	26万円/26万円/-/-	1SLDK	60.62m
75	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	10階	14.2万円	10000円	28.4万円/14.2万円/-/-	1K	34.39m
76	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	6階	16.4万円	10000円	16.4万円/16.4万円/-/-	1LDK	42.2m
77	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	14階	16.6万円	12000円	16.6万円/16.6万円/-/-	1LDK	42.2m
78	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	8階	23.8万円	12000円	47.6万円/23.8万円/-/-	2LDK	57.03m
79	ＪＲ中央線 水道橋駅 14階建 築14年	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩7分	東京メトロ半蔵門線/神保町駅 歩8分	築6年	地下3地上41階建	10階	14.2万円	10000円	28.4万円/14.2万円/-/-	1K	34.39m
80	ＪＲ中央線 水道橋駅 14階建 築14年	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩7分	東京メトロ半蔵門線/神保町駅 歩8分	築6年	地下3地上41階建	6階	16.4万円	10000円	16.4万円/16.4万円/-/-	1LDK	42.2m
81	ＪＲ中央線 水道橋駅 14階建 築14年	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩7分	東京メトロ半蔵門線/神保町駅 歩8分	築6年	地下3地上41階建	14階	16.6万円	12000円	16.6万円/16.6万円/-/-	1LDK	42.2m
82	ＪＲ中央線 水道橋駅 14階建 築14年	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩7分	東京メトロ半蔵門線/神保町駅 歩8分	築6年	地下3地上41階建	14階	16.6万円	12000円	16.6万円/16.6万円/-/-	1LDK	42.2m
83	ＪＲ中央線 水道橋駅 14階建 築14年	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩7分	東京メトロ半蔵門線/神保町駅 歩8分	築6年	地下3地上41階建	8階	23.8万円	12000円	47.6万円/23.8万円/-/-	2SLDK	57.03m
84	ＪＲ山手線 秋葉原駅 12階建 築5年	東京都千代田区神田和泉町	ＪＲ山手線/秋葉原駅 歩5分	東京メトロ日比谷線/秋葉原駅 歩5分	都営新宿線/岩本町駅 歩9分	築6年	地下3地上41階建	12階	17.8万円	-	17.8万円/17.8万円/-/-	1SLDK	43.76m
85	ＪＲ山手線 秋葉原駅 12階建 築5年	東京都千代田区神田和泉町	ＪＲ山手線/秋葉原駅 歩5分	東京メトロ日比谷線/秋葉原駅 歩5分	都営新宿線/岩本町駅 歩9分	築6年	地下3地上41階建	10階	19万円	-	19万円/19万円/-/-	2LDK	55.01m
86	レジディア神田岩本町	東京都千代田区岩本町２	都営新宿線/岩本町駅 歩3分	東京メトロ日比谷線/小伝馬町駅 歩5分	ＪＲ山手線/秋葉原駅 歩4分	築6年	地下3地上41階建	6階	9万円	8000円	18万円/9万円/-/-	ワンルーム	22.78m
87	レジディア神田岩本町	東京都千代田区岩本町２	都営新宿線/岩本町駅 歩3分	東京メトロ日比谷線/小伝馬町駅 歩5分	ＪＲ山手線/秋葉原駅 歩4分	築6年	地下3地上41階建	8階	14万円	10000円	28万円/14万円/-/-	1DK	30.97m
88	レジディア神田岩本町	東京都千代田区岩本町２	都営新宿線/岩本町駅 歩3分	東京メトロ日比谷線/小伝馬町駅 歩5分	ＪＲ山手線/秋葉原駅 歩4分	築6年	地下3地上41階建	9階	16.7万円	10000円	33.4万円/16.7万円/-/-	1LDK	43.61m
89	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.6m
90	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.6m
91	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.6m
92	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.6m
93	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.4m
94	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.3万円	-	13.3万円/13.3万円/-/-	1K	26.4m
95	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	2階	13.8万円	-	13.8万円/13.8万円/-/-	ワンルーム	31.1m
96	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.62m
97	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.62m
98	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.62m
99	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.62m
100	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.42m
101	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分	築6年	地下3地上41階建	3階	13.8万円	-	13.8万円/13.8万円/-/-	1K	27.42m
