	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
90	フェルクルール上野根岸	東京都台東区根岸２	ＪＲ山手線/鶯谷駅 歩5分	ＪＲ京浜東北線/日暮里駅 歩7分	ＪＲ山手線/日暮里駅 歩7分			7階	12.9万円	12000円	12.9万円/-/-/-	1LDK	45.45m
91	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			2階	12.8万円	7000円	12.8万円/12.8万円/-/-	2K	30.56m
92	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			2階	13万円	7000円	13万円/13万円/-/-	1LDK	30.56m
93	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			2階	13万円	7000円	26万円/13万円/-/-	2K	30.56m
94	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			11階	13.4万円	7000円	26.8万円/13.4万円/-/-	1LDK	30.56m
95	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			6階	13.7万円	7000円	13.7万円/13.7万円/-/-	1LDK	35.09m
96	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			6階	13.9万円	7000円	27.8万円/13.9万円/-/-	1LDK	35.09m
97	ＪＲ山手線 秋葉原駅 11階建 築12年	東京都台東区上野５	ＪＲ山手線/秋葉原駅 歩7分	東京メトロ銀座線/末広町駅 歩4分	ＪＲ山手線/御徒町駅 歩5分			6階	13.9万円	7000円	27.8万円/13.9万円/-/-	1LDK	30.56m
98	カーサ　ブリリア	東京都台東区竜泉１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/鶯谷駅 歩14分	つくばエクスプレス/浅草駅 歩18分			2階	11.5万円	7000円	11.5万円/11.5万円/-/-	1DK	40.22m
99	カーサ　ブリリア	東京都台東区竜泉１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/鶯谷駅 歩14分	つくばエクスプレス/浅草駅 歩18分			6階	12.3万円	7000円	12.3万円/12.3万円/-/-	1LDK	45.43m
100	LA.Suite上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/上野駅 歩8分	ＪＲ京浜東北線/鶯谷駅 歩9分			11階	9.4万円	10000円	-/-/-/-	ワンルーム	28.57m
101	LA.Suite上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/上野駅 歩8分	ＪＲ京浜東北線/鶯谷駅 歩9分			11階	9.9万円	10000円	-/9.9万円/-/-	ワンルーム	28.57m
102	LA.Suite上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/上野駅 歩8分	ＪＲ京浜東北線/鶯谷駅 歩9分			11階	10.2万円	10000円	-/10.2万円/-/-	ワンルーム	28.57m
103	LA.Suite上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/上野駅 歩8分	ＪＲ京浜東北線/鶯谷駅 歩9分			9階	12.4万円	8000円	-/12.4万円/-/-	1LDK	34.71m
104	LA.Suite上野	東京都台東区北上野１	東京メトロ日比谷線/入谷駅 歩4分	ＪＲ山手線/上野駅 歩8分	ＪＲ京浜東北線/鶯谷駅 歩9分			9階	12.4万円	10000円	-/12.4万円/-/-	1LDK	34.71m
105	スカイテラス浅草	東京都台東区寿３	都営大江戸線/蔵前駅 歩3分	東京メトロ銀座線/浅草駅 歩6分	都営浅草線/浅草駅 歩7分			3階	8.3万円	6000円	8.3万円/8.3万円/-/-	1K	25m
106	スカイテラス浅草	東京都台東区寿３	都営大江戸線/蔵前駅 歩3分	東京メトロ銀座線/浅草駅 歩6分	都営浅草線/浅草駅 歩7分			10階	16.5万円	-	16.5万円/16.5万円/-/-	2DK	50m
