	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積	立地11	立地12	立地21	立地22	立地31	立地32	敷金	礼金	保証金	敷引,償却	賃料+管理費	敷/礼/保証金	階1	階2	間取りDK	間取りK	間取りL	間取りS
32	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分			10階	83000.0	10000	8.3万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	83000.0	0.0	0.0	-	93000.0	83000.0	10		0	1	0	0
33	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分			11階	83500.0	10000	8.35万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	83500.0	0.0	0.0	-	93500.0	83500.0	11		0	1	0	0
34	アルテカーサプレスト北千住	東京都足立区千住宮元町	東京メトロ日比谷線/北千住駅 歩9分	京成本線/千住大橋駅 歩9分	東武伊勢崎線/牛田駅 歩17分			11階	84000.0	10000	8.4万円/-/-/-	1	25.57	東京メトロ日比谷線/北千住駅	9	京成本線/千住大橋駅	9.0	東武伊勢崎線/牛田駅	17.0	84000.0	0.0	0.0	-	94000.0	84000.0	11		0	1	0	0
35	フェリーチェ	東京都足立区西綾瀬４	東京メトロ千代田線/綾瀬駅 歩12分	つくばエクスプレス/青井駅 歩6分	東武伊勢崎線/五反野駅 歩14分			3階	76000.0	3000	7.6万円/-/-/-	1	25.25	東京メトロ千代田線/綾瀬駅	12	つくばエクスプレス/青井駅	6.0	東武伊勢崎線/五反野駅	14.0	76000.0	0.0	0.0	-	79000.0	76000.0	3		0	1	0	0
36	リブリ・王子神谷テラス	東京都足立区新田２	東京メトロ南北線/王子神谷駅 歩14分	ＪＲ京浜東北線/東十条駅 歩23分	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田 歩6分			1階	65000.0	4000	-/6.5万円/-/-	1	26.08	東京メトロ南北線/王子神谷駅	14	ＪＲ京浜東北線/東十条駅	23.0	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田	6.0	0.0	65000.0	0.0	-	69000.0	65000.0	1		0	1	0	0
37	リブリ・王子神谷テラス	東京都足立区新田２	東京メトロ南北線/王子神谷駅 歩14分	ＪＲ京浜東北線/東十条駅 歩23分	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田 歩6分			1階	65000.0	4000	-/6.5万円/-/-	1	26.08	東京メトロ南北線/王子神谷駅	14	ＪＲ京浜東北線/東十条駅	23.0	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田	6.0	0.0	65000.0	0.0	-	69000.0	65000.0	1		0	1	0	0
38	リブリ・王子神谷テラス	東京都足立区新田２	東京メトロ南北線/王子神谷駅 歩14分	ＪＲ京浜東北線/東十条駅 歩23分	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田 歩6分			1階	66000.0	4000	-/6.6万円/-/-	1	26.08	東京メトロ南北線/王子神谷駅	14	ＪＲ京浜東北線/東十条駅	23.0	ＪＲ埼京線/赤羽駅 バス11分 (バス停)環七新田	6.0	0.0	66000.0	0.0	-	70000.0	66000.0	1		0	1	0	0
39	第三鳥塚ビル	東京都足立区綾瀬２	ＪＲ常磐線/綾瀬駅 歩4分	つくばエクスプレス/青井駅 歩23分	東武伊勢崎線/小菅駅 歩17分			4階	82000.0	7000	8.2万円/-/-/-	2	50.0	ＪＲ常磐線/綾瀬駅	4	つくばエクスプレス/青井駅	23.0	東武伊勢崎線/小菅駅	17.0	82000.0	0.0	0.0	-	89000.0	82000.0	4		1	0	1	0
40	第三鳥塚ビル	東京都足立区綾瀬２	ＪＲ常磐線/綾瀬駅 歩4分	つくばエクスプレス/青井駅 歩23分	東武伊勢崎線/小菅駅 歩17分			2階	88000.0	7000	8.8万円/-/-/-	2	50.0	ＪＲ常磐線/綾瀬駅	4	つくばエクスプレス/青井駅	23.0	東武伊勢崎線/小菅駅	17.0	88000.0	0.0	0.0	-	95000.0	88000.0	2		1	0	1	0
41	エムズ	東京都足立区鹿浜８	日暮里・舎人ライナー/谷在家駅 歩8分	日暮里・舎人ライナー/西新井大師西駅 歩10分	ＪＲ京浜東北線/赤羽駅 バス24分 (バス停)鹿浜6丁目 歩6分			2階	84000.0	3000	4.2万円/8.4万円/-/-	2	57.0	日暮里・舎人ライナー/谷在家駅	8	日暮里・舎人ライナー/西新井大師西駅	10.0	ＪＲ京浜東北線/赤羽駅 バス24分 (バス停)鹿浜6丁目	6.0	42000.0	84000.0	0.0	-	87000.0	126000.0	2		1	0	1	0
